kepid;koi_disposition;koi_pdisposition;koi_score;koi_period;koi_impact;koi_duration;koi_depth;koi_prad;koi_sma;koi_teq;koi_model_snr
9353182;FALSE POSITIVE;FALSE POSITIVE;0.0000;10.476258265;0.3180;7.77203;1.2021e+05;54.13;0.0961;1077.0;8251.50
9357275;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.588298157;0.8550;4.37027;1.6503e+05;120.00;0.0318;2773.0;1071.60
9357375;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.588262630;0.0210;2.65500;7.8900e+01;0.47;0.0220;862.0;8.50
9392702;FALSE POSITIVE;FALSE POSITIVE;0.0000;3.909314318;0.7760;5.36124;9.7123e+04;42.54;0.0493;1364.0;1587.60
9394920;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.383858220;;1.00000;;;;;
8524110;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.797089750;0.5300;3.30100;1.9300e+01;0.54;0.0167;2262.0;9.80
10163067;CANDIDATE;CANDIDATE;0.9830;25.913667400;0.9820;10.49800;1.0970e+02;3.37;0.1861;966.0;16.10
10164018;FALSE POSITIVE;FALSE POSITIVE;0.0010;8.541241100;0.7930;3.65400;2.9880e+02;1.40;0.0761;767.0;10.70
10189523;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.013922622;1.1780;1.63930;3.4957e+04;31.98;0.0170;1392.0;79.80
10198109;FALSE POSITIVE;FALSE POSITIVE;0.0010;17.918743061;0.2520;4.36387;1.1836e+05;56.94;0.1232;942.0;4696.80
10208759;FALSE POSITIVE;FALSE POSITIVE;0.0000;2.287515702;0.3460;10.08790;3.5858e+05;86.76;0.0383;1801.0;3017.90
10214328;FALSE POSITIVE;FALSE POSITIVE;0.0000;659.290700000;0.9820;22.10600;3.3810e+02;4.66;1.6519;322.0;27.00
