kepid;koi_disposition;koi_pdisposition;koi_score;koi_period;koi_impact;koi_duration;koi_depth;koi_prad;koi_sma;koi_teq;koi_model_snr
4349935;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.792023257;0.2050;3.26040;1.7660e+02;0.81;0.0142;1300.0;49.60
4352168;FALSE POSITIVE;FALSE POSITIVE;0.0000;10.643743766;0.3530;6.29783;4.3651e+05;47.87;0.0827;675.0;3167.90
4356621;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.731795800;0.4450;2.92400;6.0600e+01;1.19;0.0285;1825.0;10.50
4357985;FALSE POSITIVE;FALSE POSITIVE;0.0000;8.652985990;0.5290;1.54900;3.1380e+02;1.36;0.0735;734.0;12.40
4367544;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.195634470;0.8610;5.39340;8.2450e+03;14.94;0.0217;1988.0;105.80
4372410;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.550537628;0.5160;1.21600;7.2000e+01;1.93;0.0161;4181.0;4.90
4372620;CANDIDATE;CANDIDATE;;19.931060200;0.0766;8.48000;9.7900e+01;2.42;0.1590;960.0;14.20
4372961;FALSE POSITIVE;FALSE POSITIVE;0.0000;2.534707970;1.1870;20.14300;3.2820e+02;50.25;0.0406;2117.0;99.50
5119143;FALSE POSITIVE;FALSE POSITIVE;;0.530799654;0.0126;3.48700;3.1850e+02;2.92;0.0140;3102.0;12.50
5125048;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.568187690;;2.00000;;;;;
5126627;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.009477900;;3.72000;;;;;
5130890;FALSE POSITIVE;FALSE POSITIVE;;0.910577950;;2.73000;;;;;
5164794;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.042941900;0.9220;7.22000;4.1200e+02;2.49;0.0202;1795.0;40.90
5171707;CANDIDATE;CANDIDATE;1.0000;0.813998812;0.0450;0.67500;1.8340e+02;1.36;0.0168;1933.0;13.70
5172274;FALSE POSITIVE;FALSE POSITIVE;0.0000;6.126509130;0.9190;15.43000;2.4340e+03;9.08;0.0753;1370.0;3.10
5174492;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.720589427;0.6400;4.32900;7.0000e+01;1.95;0.0201;3927.0;1.70
6068947;FALSE POSITIVE;FALSE POSITIVE;;0.573036404;0.9279;1.31760;4.1745e+03;9.97;0.0136;2376.0;419.60
6103049;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.643171495;1.2140;2.31285;4.1160e+04;54.03;0.0139;2193.0;641.40
6109688;FALSE POSITIVE;FALSE POSITIVE;0.0000;14.086776961;0.6030;10.12790;1.0684e+05;65.60;0.1308;1197.0;1856.90
6111011;CANDIDATE;CANDIDATE;0.2120;14.763914500;0.0160;3.14000;1.6250e+02;0.93;0.1096;632.0;7.70
6128141;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.872620976;1.2420;1.76260;1.5306e+03;31.43;0.0296;1550.0;181.90
6128245;CANDIDATE;CANDIDATE;0.9550;1.118510435;0.2510;1.11100;7.2700e+01;0.75;0.0208;1684.0;9.90
6131659;FALSE POSITIVE;FALSE POSITIVE;0.0000;17.527826808;0.5670;5.78491;3.4752e+05;49.36;0.1196;554.0;2450.10
6146838;FALSE POSITIVE;FALSE POSITIVE;0.0000;27.467217305;1.0760;4.17961;7.1766e+04;38.87;0.1575;527.0;1986.10
6950275;FALSE POSITIVE;FALSE POSITIVE;0.0000;40.879068000;0.9880;6.56200;4.9920e+02;3.35;0.2328;533.0;12.20
6953219;FALSE POSITIVE;FALSE POSITIVE;;0.566802325;0.3857;1.84200;2.8840e+02;1.40;0.0123;1889.0;70.30
6956176;CANDIDATE;CANDIDATE;0.9960;2.641852680;0.1990;1.76000;1.4980e+02;3.56;0.0348;2104.0;7.90
6962018;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.634946497;0.4420;2.40541;4.2655e+05;52.75;0.0130;1475.0;541.40
6965293;FALSE POSITIVE;FALSE POSITIVE;0.0000;5.077746556;1.2110;3.17180;1.8837e+04;54.93;0.0581;1274.0;616.90
6967430;FALSE POSITIVE;FALSE POSITIVE;0.0000;2.003837030;0.2680;3.47300;4.2300e+01;0.67;0.0317;1518.0;10.50
7009828;FALSE POSITIVE;FALSE POSITIVE;0.0000;5.321224925;1.0030;7.48973;9.8872e+04;40.62;0.0538;958.0;1203.40
7025851;FALSE POSITIVE;FALSE POSITIVE;0.0000;2.340534383;0.7100;4.43017;2.4136e+05;69.55;0.0351;1581.0;881.50
7870250;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.580724809;0.2920;1.82000;6.4200e+01;0.75;0.0136;2191.0;16.90
7871395;FALSE POSITIVE;FALSE POSITIVE;;501.076474470;;3.21000;;;;;
7885518;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.729332550;0.5860;3.63100;2.9700e+01;0.69;0.0271;1745.0;17.10
7885570;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.729338354;0.8870;6.85240;1.4016e+05;139.36;0.0312;2230.0;379.70
7886329;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.567493852;1.2750;1.35349;7.9840e+03;65.47;0.0134;3024.0;1219.80
7902204;CANDIDATE;CANDIDATE;0.9720;2.540311210;0.2950;1.83000;1.7330e+02;1.20;0.0368;1268.0;10.10
7919653;FALSE POSITIVE;FALSE POSITIVE;0.0000;2.105238039;0.8300;5.23595;9.4675e+04;75.10;0.0336;1966.0;1071.90
7938468;FALSE POSITIVE;FALSE POSITIVE;0.0000;7.226944171;1.2330;23.01240;6.8218e+05;237.79;0.0748;1179.0;3076.60
8560861;FALSE POSITIVE;FALSE POSITIVE;0.0000;31.973311701;1.3500;13.21050;7.5054e+04;272.44;0.2502;1289.0;1554.10
8565900;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.641258440;;4.51000;;;;;
8566113;CANDIDATE;CANDIDATE;;1.371587993;0.9829;12.90100;4.5610e+02;4.91;0.0266;2413.0;43.30
8569819;FALSE POSITIVE;FALSE POSITIVE;0.0000;20.849919614;13.7150;13.76870;3.1309e+05;2912.48;0.1728;1099.0;1614.70
8574270;FALSE POSITIVE;FALSE POSITIVE;0.0000;15.120212531;1.1990;3.50007;2.4616e+04;33.11;0.1056;605.0;928.20
8581658;FALSE POSITIVE;FALSE POSITIVE;0.0000;3.481657589;0.2450;4.75315;3.4701e+05;78.24;0.0441;1485.0;7428.70
8590527;FALSE POSITIVE;FALSE POSITIVE;0.2280;0.739769962;1.2120;1.95901;2.0729e+04;82.29;0.0165;3013.0;726.20
8604993;FALSE POSITIVE;FALSE POSITIVE;0.0000;6.570421193;0.9390;4.46980;6.0118e+04;33.99;0.0667;946.0;712.60
8608490;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.541405029;0.6410;2.74810;3.2766e+05;125.64;0.0125;2679.0;541.20
9579789;FALSE POSITIVE;FALSE POSITIVE;0.0000;2.178141860;0.0120;1.98800;1.2770e+02;0.92;0.0309;1174.0;11.20
9581498;FALSE POSITIVE;FALSE POSITIVE;;10.548848420;;1.17000;;;;;
9588862;CANDIDATE;CANDIDATE;;5.897739740;0.1566;2.24300;7.7900e+01;1.00;0.0657;1150.0;8.10
9592855;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.609662423;0.7990;4.24033;1.4092e+05;110.14;0.0169;3834.0;3250.10
9596064;CANDIDATE;CANDIDATE;1.0000;1.741450410;0.3300;1.71200;3.7060e+02;1.46;0.0268;1234.0;10.90
9596187;FALSE POSITIVE;FALSE POSITIVE;0.6690;0.953299962;1.2670;1.69478;2.2366e+03;35.67;0.0188;2011.0;298.00
9596892;CANDIDATE;CANDIDATE;;20.294411800;8.7053;0.35700;4.5390e+02;774.73;0.1463;648.0;5.60
9597095;FALSE POSITIVE;FALSE POSITIVE;0.0000;2.745640575;1.1170;3.04508;4.5265e+04;47.22;0.0385;1300.0;918.00
10450504;CANDIDATE;CANDIDATE;0.9630;17.990827300;0.1290;1.43600;6.6000e+02;1.88;0.1208;541.0;10.90
10454401;FALSE POSITIVE;FALSE POSITIVE;0.0000;12.180721266;0.4790;4.15602;4.1495e+05;63.25;0.1029;742.0;1809.80
10462826;FALSE POSITIVE;FALSE POSITIVE;0.0000;50.467024395;0.9730;8.96181;1.0314e+05;52.88;0.2716;523.0;1435.10
10464199;CANDIDATE;CANDIDATE;;198.113090000;0.1542;15.59000;5.3300e+01;1.09;0.6915;399.0;8.30
10468514;FALSE POSITIVE;FALSE POSITIVE;0.7010;0.849860540;1.2600;1.38750;6.5715e+03;67.45;0.0170;2260.0;100.10
10471113;FALSE POSITIVE;FALSE POSITIVE;0.6850;0.933728196;0.0150;3.44100;6.7700e+01;0.85;0.0190;2006.0;13.30
10481054;FALSE POSITIVE;FALSE POSITIVE;0.0000;2.037427120;0.7910;3.93900;3.6000e+01;0.90;0.0325;1812.0;11.40
10486425;FALSE POSITIVE;FALSE POSITIVE;0.0000;5.274819905;0.9900;4.66880;1.0896e+05;100.89;0.0692;1646.0;902.50
11560447;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.527678272;0.3850;2.33166;2.4774e+05;75.31;0.0125;2551.0;706.10
11601357;FALSE POSITIVE;FALSE POSITIVE;0.4020;3.550270510;0.0220;1.87900;2.1270e+02;1.15;0.0438;1036.0;7.60
11602794;CANDIDATE;CANDIDATE;0.9250;5.705095190;0.4690;1.58000;2.8360e+02;1.58;0.0599;947.0;9.20
11615481;FALSE POSITIVE;FALSE POSITIVE;0.0000;65.431719400;0.8850;12.23840;1.5341e+05;59.22;0.3246;490.0;1146.60
11616200;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.718649321;0.4210;3.94095;1.9057e+05;39.08;0.0276;1499.0;833.40
11616631;FALSE POSITIVE;FALSE POSITIVE;0.0000;7.294917500;1.1320;41.04000;1.8280e+02;11.67;0.0684;763.0;18.90
11616663;FALSE POSITIVE;FALSE POSITIVE;0.0000;7.293580100;1.1570;40.02000;1.2450e+02;17.41;0.0752;925.0;26.60
11618798;FALSE POSITIVE;FALSE POSITIVE;;42.926136400;0.2964;2.57800;3.7840e+02;1.84;0.2444;490.0;8.60
2570505;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.891293380;0.3730;5.67700;3.3800e+01;0.42;0.0267;1152.0;15.10
2570767;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.891244530;0.7340;5.08000;3.1000e+01;1.19;0.0272;2200.0;19.40
2571075;FALSE POSITIVE;FALSE POSITIVE;;1.891342010;0.2376;4.67400;1.2890e+02;0.92;0.0289;1325.0;8.90
2576692;FALSE POSITIVE;FALSE POSITIVE;0.0000;87.878261910;0.5850;12.81380;3.3906e+05;110.85;0.3805;530.0;1974.60
2580872;FALSE POSITIVE;FALSE POSITIVE;0.0000;15.926632768;0.6720;7.42888;2.7186e+05;57.95;0.1200;670.0;2278.90
2583777;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.958116585;1.2750;2.34960;2.3741e+03;49.16;0.0187;2271.0;296.00
